,clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
0,3,1436,0,0,0,0,1,0,0,1,0,0,0,0,-0.6407243220408566,0.8040258684817634,-0.20973360730648113,-0.6117074117093697,-0.5721273102616024,-0.4974178728996406
1,5,2340,0,0,1,0,0,0,0,0,0,0,1,0,-0.1749699247560851,0.4570587470296551,-1.9773601424306724,0.004279965818941041,0.030098106455323997,0.07858504813193222
2,6,607,0,0,0,0,1,0,0,0,1,0,0,0,-1.085308064903593,-0.23687549587456158,-0.6516402410875289,-1.3348230288078207,-1.3181677518661532,-1.3326221083954215
3,1,2464,0,0,1,0,0,0,1,0,0,0,0,0,-0.1326286159120149,0.11009162557754675,-0.6516402410875289,0.04891673230649961,0.0750403017327064,0.07858504813193222
4,3,544,0,0,1,0,0,0,0,0,1,0,0,0,-1.0429667560595228,0.4570587470296551,-1.5354535086496246,-1.2366221425351913,-1.219294922255912,-1.1742213051117392
5,2,5408,0,0,0,1,0,0,0,0,1,0,0,0,0.6506855977032828,0.38766532273923243,0.23217302647456664,0.7720323494049514,0.6952425965605854,0.7841886263956087
6,2,4687,0,0,0,1,0,0,0,0,0,0,0,1,0.9259041051897385,0.0406982012871241,0.23217302647456664,1.030925595032792,1.0008495244467877,1.014589794808238
7,6,857,0,0,1,0,0,0,0,1,0,0,0,0,-1.064137410481558,0.0406982012871241,-1.5354535086496246,-1.2544768491302152,-1.246260239422341,-1.2318215972148965
8,4,774,0,0,1,0,0,1,0,0,0,0,0,0,-1.0429667560595228,-0.4450557687458246,-1.0935468748685768,-1.2276947892376797,-1.2103064832004349,-1.2462216702406854
9,4,5786,0,0,0,1,0,0,0,0,1,0,0,0,0.9047334507677034,0.3182718984488147,0.23217302647456664,0.923797355462651,0.8929882557810693,1.0433899408598162
10,4,1691,0,0,1,0,0,0,0,0,1,0,0,0,-0.5983830131967863,-0.6532360416170926,-1.0935468748685768,-0.4867244655442048,-0.43730072442945517,-0.5262180189512192
11,1,1146,0,0,1,0,0,0,1,0,0,0,0,0,-0.5983830131967863,0.0406982012871241,-0.20973360730648113,-0.5402885853292757,-0.5092082368732673,-0.5118179459254303
12,6,1621,0,0,1,0,0,1,0,0,0,0,0,0,-0.8100895574171372,0.7346324441913408,-0.6516402410875289,-0.8438185974446749,-0.8867226772032808,-0.7854193334154274
13,3,368,0,0,0,1,0,0,0,0,0,0,0,1,-1.064137410481558,-0.7920228901979329,0.6740796602556144,-1.2544768491302152,-1.2282833613113884,-1.3038219623438427
14,3,629,0,0,1,0,0,0,0,1,0,0,0,0,-0.9371134839493476,-0.16748207158413894,-1.0935468748685768,-1.0491477232874447,-1.0305377020909052,-1.0446206478796354
15,4,921,0,0,1,0,0,0,0,0,1,0,0,0,-0.8100895574171372,0.1794850498679694,-1.0935468748685768,-0.861673304039698,-0.823803603814945,-0.814219479467006
16,2,1687,0,0,1,0,0,1,0,0,0,0,0,0,-0.6195536676188215,-0.09808864729371627,-0.6516402410875289,-0.5581432919242988,-0.5811157493170795,-0.5694182380285876
